49	0xd69b0089d9ca950640f5dc9931a41a5965f00303		177,500.0481664 Ether	0.15072223%	69
50	0x36a85757645e8e8aec062a1dee289c7d615901ca		177,328.30765968 Ether	0.15057640%	1
51	0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6		172,038.06719675 Ether	0.14608425%	55
52	0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9	Golem: MultiSig	170,034.34311324 Ether	0.14438281%	458
53	0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4		169,031.99351958 Ether	0.14353168%	18
54	0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d		163,400 Ether	0.13874933%	11
55	0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b		162,706.22143835 Ether	0.13816022%	11,784
56	0xcdbf58a9a9b54a2c43800c50c7192946de858321		161,300.09703 Ether	0.13696622%	11
57	0x3ba25081d3935fcc6788e6220abcace39d58d95d		157,738.10587866 Ether	0.13394159%	42
58	0xfd898a0f677e97a9031654fc79a27cb5e31da34a		150,000.1 Ether	0.12737095%	5
59	0x4b4a011c420b91260a272afd91e54accdafdfc1d		150,000.001 Ether	0.12737087%	5
60	0xa8dcc0373822b94d7f57326be24ca67bafcaad6b		150,000.001 Ether	0.12737087%	5
61	0x367989c660881e1ca693730f7126fe0ffc0963fb		150,000.001 Ether	0.12737087%	5
62	0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7		150,000 Ether	0.12737087%	6
63	0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9		150,000 Ether	0.12737087%	6
64	0xb20411c403687d1036e05c8a7310a0f218429503		150,000 Ether	0.12737087%	4
65	0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f		150,000 Ether	0.12737087%	37
66	0xb8cda067fabedd1bb6c11c626862d7255a2414fe		150,000 Ether	0.12737087%	4
67	0xb9fa6e54025b4f0829d8e1b42e8b846914659632		150,000 Ether	0.12737087%	4
68	0x701c484bfb40ac628afa487b6082f084b14af0bd		150,000 Ether	0.12737087%	4
69	0xba18ded5e0d604a86428282964ae0bb249ceb9d0		150,000 Ether	0.12737087%	4
70	0xfe01a216234f79cfc3bea7513e457c6a9e50250d		150,000 Ether	0.12737087%	4
71	0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d		150,000 Ether	0.12737087%	4
72	0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69		150,000 Ether	0.12737087%	4
73	0xe04cf52e9fafa3d9bf14c407afff94165ef835f7		150,000 Ether	0.12737087%	4
74	0x77afe94859163abf0b90725d69e904ea91446c7b		150,000 Ether	0.12737087%	4
75	0x19d599012788b991ff542f31208bab21ea38403e		150,000 Ether	0.12737087%	4
76	0xca582d9655a50e6512045740deb0de3a7ee5281f		150,000 Ether	0.12737087%	4
77	0xd05e6bf1a00b5b4c9df909309f19e29af792422b		150,000 Ether	0.12737087%	4
78	0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935		150,000 Ether	0.12737087%	5
79	0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6		150,000 Ether	0.12737087%	4
80	0x7ae92148e79d60a0749fd6de374c8e81dfddf792		150,000 Ether	0.12737087%	4
81	0x554f4476825293d4ad20e02b54aca13956acc40a		150,000 Ether	0.12737087%	4
82	0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c		150,000 Ether	0.12737087%	4
83	0x4756eeebf378046f8dd3cb6fa908d93bfd45f139		150,000 Ether	0.12737087%	4
84	0x091933ee1088cdf5daace8baec0997a4e93f0dd6		150,000 Ether	0.12737087%	4
85	0xa0efb63be0db8fc11681a598bf351a42a6ff50e0		150,000 Ether	0.12737087%	4
86	0x8b83b9c4683aa4ec897c569010f09c6d04608163		150,000 Ether	0.12737087%	4
87	0x550cd530bc893fc6d2b4df6bea587f17142ab64e		150,000 Ether	0.12737087%	4
88	0x828103b231b39fffce028562412b3c04a4640e64		150,000 Ether	0.12737087%	5
89	0xe35b0ef92452c353dbb93775e0df97cedf873c72		150,000 Ether	0.12737087%	4
90	0x0518f5bb058f6215a0ff5f4df54dae832d734e04		150,000 Ether	0.12737087%	4
91	0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5		150,000 Ether	0.12737087%	4
92	0x0ff64c53d295533a37f913bb78be9e2adc78f5fe		150,000 Ether	0.12737087%	5
93	0xb8b6fe7f357adeab950ac6c270ce340a46989ce1		150,000 Ether	0.12737087%	4
94	0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b		150,000 Ether	0.12737087%	25
95	0x7145cfedcf479bede20c0a4ba1868c93507d5786		150,000 Ether	0.12737087%	40
96	0x2fa9f9efc767650aace0422668444c3ff63e1f8d		148,531.71231403 Ether	0.12612409%	13
97	0xd57479b8287666b44978255f1677e412d454d4f0		147,699.4245034 Ether	0.12541736%	4
98	0x4109a9d7f736d5ce89ec4e1f5df8a3282c88e5c2		146,169.11926367 Ether	0.12411792%	1
99	0x4baf012726cb5ec7dda57bc2770798a38100c44d		145,000.09839497 Ether	0.12312525%	7
100	0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3	Aave: Lending Pool Core V1	144,192.10708379 Ether	0.12243916%	14
101	0x78605df79524164911c144801f41e9811b7db73d	BitDAO: Treasury	138,714.89847312 Ether	0.11778824%	13
102	0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6		135,283.676786 Ether	0.11487465%	280
103	0xcafea35ce5a2fc4ced4464da4349f81a122fd12b		131,826.21083518 Ether	0.11193878%	2,872
104	0x3262f13a39efaca789ae58390441c9ed76bc658a		131,656.039822 Ether	0.11179429%	10
105	0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13	Kraken 2	131,283.02866199 Ether	0.11147755%	12,216
106	0x8d95842b0bca501446683be598e12f1c616770c1		130,000 Ether	0.11038808%	47
107	0xa4a6a282a7fc7f939e01d62d884355d79f5046c1		129,979.9924467 Ether	0.11037109%	11
108	0x35aeed3aa9657abf8b847038bb591b51e1e4c69f		129,793.40309661 Ether	0.11021265%	62
109	0xb93d8596ac840816bd366dc0561e8140afd0d1cb		128,576.12063659 Ether	0.10917901%	56
110	0x7fdd9c6be666561e088607bda6047feb283fb4a5		128,131.972521 Ether	0.10880186%	7
111	0x6569a39c644256ee9b647c13f2cb6afd4b50a947		128,062.13845688 Ether	0.10874256%	2
112	0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c		123,587.69025187 Ether	0.10494313%	10
113	0xa49d9b78ad1b389ee8d35adf4af065afc17f8c3b		121,555.92358356 Ether	0.10321788%	33
114	0x25eaff5b179f209cf186b1cdcbfa463a69df4c45	Blockfolio	120,105.75582952 Ether	0.10198649%	86,447
115	0x595faf77e533a5cd30ab5859c9a0116de8bad8db		120,000 Ether	0.10189669%	50
116	0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce		120,000 Ether	0.10189669%	53
117	0xd5268a476aadd1a6729df5b3e5e8f2c1004139af		120,000 Ether	0.10189669%	55
118	0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1		120,000 Ether	0.10189669%	52
119	0xf481b7fab9f5d0e74f21ae595a749634fb053619		119,858.42783694 Ether	0.10177647%	59
120	0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2	FTX Exchange	119,418.60405948 Ether	0.10140300%	2,558,219
121	0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9		119,418.37357608 Ether	0.10140280%	51
122	0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b		119,060.19653535 Ether	0.10109866%	51
123	0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62		117,773.67531856 Ether	0.10000623%	47
124	0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3		117,516.69167459 Ether	0.09978801%	116
125	0x4ce6b9b77a2e3341c4f94c751cd5c3b2424eb4b2		115,204.16302308 Ether	0.09782435%	5
126	0x376c3e5547c68bc26240d8dcc6729fff665a4448	Iconomi: MultiSig 1	114,939.00001 Ether	0.09759919%	37
127	0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd	Fund: 0x115...3cD	114,574.02270978 Ether	0.09728928%	141
128	0x2125f3189cd5d650d6142b222f20083efc2d05f2		111,919.20974011 Ether	0.09503497%	9
129	0x1b8766d041567eed306940c587e21c06ab968663		111,377.3141615 Ether	0.09457483%	3
130	0x3d4530082c3eb60f58af03f79b1ed3f40e591cd1	Golem: Foundation	110,198.59058 Ether	0.09357393%	92
131	0xd9858d573a26bca124282afa21ca4f4a06eff98a		110,179.66948149 Ether	0.09355786%	1
132	0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40	Coinone 2	110,000.92294776 Ether	0.09340608%	31
133	0x47029dc4f3922706bf670d335c45550cff4f6a35		108,361.63693365 Ether	0.09201410%	15
134	0x8ae880b5d35305da48b63ce3e52b22d17859f293		107,708.2421783 Ether	0.09145927%	3
135	0x5a710a3cdf2af218740384c52a10852d8870626a		107,141.16775261 Ether	0.09097775%	1
136	0xdb89045c811549f7eb925ec16f7d0cd7166556b3		102,590.58304458 Ether	0.08711367%	4
137	0xbf4ed7b27f1d666546e30d74d50d173d20bca754	WithdrawDAO	102,493.26568028 Ether	0.08703103%	19,394
138	0x28c6c06298d514db089934071355e5743bf21d60	Binance 14	102,137.71047969 Ether	0.08672912%	3,222,597
139	0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc		102,002.99467199 Ether	0.08661473%	10
140	0x76ae5632ae65d95dd704218920f7d8ac4daef9cc		101,388.61761361 Ether	0.08609303%	29
141	0x5657e633be5912c6bab132315609b51aadd01f95		101,051.80639112 Ether	0.08580704%	7
142	0x67f706db3bbd04a250eed049386c5d09c4ee31f0		100,784.24721512 Ether	0.08557984%	34
143	0x4fdd5eb2fb260149a3903859043e962ab89d8ed4		100,116.86592345 Ether	0.08501314%	23
144	0x1fe29b608c1cab7b7354fc96c7bbb2a68355ced6		100,000.973712 Ether	0.08491473%	5
145	0x40f50e8352d64af0ddda6ad6c94b5774884687c3		100,000.00002 Ether	0.08491391%	3
146	0x2d89034424db22c9c555f14692a181b22b17e42c		100,000.00001 Ether	0.08491391%	3
147	0x469f1ea76d13d4b4ea20a233eac8ce6ac74d5087		100,000 Ether	0.08491391%	3
148	0x539c92186f7c6cc4cbf443f26ef84c595babbca1		100,000 Ether	0.08491391%	1
149	0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f		100,000 Ether	0.08491391%	1
150	0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f		100,000 Ether	0.08491391%	1
151	0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143		99,999.00451 Ether	0.08491306%	5
152	0x999e77c988c4c1451d3b1c104a6cca7813a9946e		99,272.40002325 Ether	0.08429607%	47
153	0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9		98,697.96232116 Ether	0.08380829%	46
154	0x28140cb1ac771d4add91ee23788e50249c10263d		97,634.063475 Ether	0.08290490%	1
155	0x32d4703e5834f1b474b17dfdb0ac32cc22575145		96,575.28074862 Ether	0.08200584%	8,414
156	0xd6216fc19db775df9774a6e33526131da7d19a2c		96,047.59222245 Ether	0.08155776%	2,920
157	0xc56fefd1028b0534bfadcdb580d3519b5586246e		95,263.26323519 Ether	0.08089176%	1
158	0x3bc643a841915a267ee067b580bd802a66001c1d		94,515.56423563 Ether	0.08025686%	309
159	0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6		93,032.0962768 Ether	0.07899719%	4
